"LAD Name","LAD Code","Mean NO2 Conc.","Mean PM2.5 Conc."
"Kingston upon Thames","E09000021",31.9993810738439,12.5708568841083
"Croydon","E09000008",30.0921492539642,12.3959151306211
"Bromley","E09000006",27.5789784669551,12.013812919041
"Hounslow","E09000018",35.1104604392988,12.8048326794965
"Ealing","E09000009",36.3848345997024,13.1729701082693
"Havering","E09000016",26.8409043957263,11.8088280977302
"Hillingdon","E09000017",31.969068105269,12.284292459811
"Harrow","E09000015",30.8481652015516,12.4327101302513
"Brent","E09000005",36.8748467183934,13.2779597450159
"Barnet","E09000003",33.6520328955303,12.7795325814667
"Lambeth","E09000022",39.8736510265889,13.8395891659862
"Southwark","E09000028",40.5864650321135,13.8461789644474
"Lewisham","E09000023",35.9244793059882,13.2262587425098
"Greenwich","E09000011",34.8821903281965,13.1270016741157
"Bexley","E09000004",30.3771706941584,12.4483690613722
"Enfield","E09000010",31.3939451250922,12.4588607105109
"Waltham Forest","E09000031",34.9913006025445,13.0513285931095
"Redbridge","E09000026",32.6047514806672,12.6682873700035
"Sutton","E09000029",30.7245482655324,12.5502685132687
"Richmond upon Thames","E09000027",32.9924369648373,12.6849449617426
"Merton","E09000024",33.9619334776229,13.0108384261251
"Wandsworth","E09000032",37.8348156581444,13.5225311177982
"Hammersmith and Fulham","E09000013",40.9396590659266,13.9100332366096
"Kensington and Chelsea","E09000020",44.2717275491023,14.4512660877186
"Westminster","E09000033",48.1135403781641,15.2496716871347
"Camden","E09000007",42.5829484360022,14.2526278838994
"Tower Hamlets","E09000030",42.9262118007804,14.2285696232139
"Islington","E09000019",42.9480227964,14.2657539357098
"Hackney","E09000012",40.9206892922103,13.9199982840816
"Haringey","E09000014",37.2278654735032,13.3122414079472
"Newham","E09000025",37.4834153331471,13.4522978688941
"Barking and Dagenham","E09000002",31.9664239008322,12.720307614506
"City of London","E09000001",54.1886362290533,16.0321188487529
